	sentiment	content	labels
39	neutral	@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry	[0 0 0 1 0]
40	happiness	mmm much better day... so far! it's still quite early. last day of #uds	[0 1 0 0 0]
41	happiness	@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform	[0 1 0 0 0]
42	sadness	just picked up her Blackberry from the middle of the street! Both she and it are crushed!	[0 0 0 0 1]
43	sadness	Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...	[0 0 0 0 1]
45	sadness	Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now	[0 0 0 0 1]
46	sadness	@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also	[0 0 0 0 1]
47	sadness	I'm having a problem with my photo here in twitter amf!!!...can't see my face!	[0 0 0 0 1]
48	neutral	@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.	[0 0 0 1 0]
49	neutral	wnna take a bath!!!!	[0 0 0 1 0]
50	neutral	Chocolate milk is so much better through a straw. I lack said straw	[0 0 0 1 0]
51	sadness	why am i so tired?	[0 0 0 0 1]
53	neutral	@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs	[0 0 0 1 0]
54	neutral	@benballer  no way! damn that sucks B!  are you ok?	[0 0 0 1 0]
55	sadness	sucks not being able to take days off of work or have the money to take the trip  so sad	[0 0 0 0 1]
56	happiness	bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to	[0 1 0 0 0]
57	neutral	@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope	[0 0 0 1 0]
58	neutral	@lostluna But I got dibs on Sulu...	[0 0 0 1 0]
59	sadness	@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.	[0 0 0 0 1]
60	sadness	@itsgabbith at once haha.  poor aby still gets sore!	[0 0 0 0 1]
61	sadness	diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.	[0 0 0 0 1]
62	sadness	I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;	[0 0 0 0 1]
63	sadness	@Pokinatcha  in all honesty...pain   blech.	[0 0 0 0 1]
64	sadness	Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...	[0 0 0 0 1]
65	neutral	At home alone with not much to do	[0 0 0 1 0]
66	sadness	@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.	[0 0 0 0 1]
67	sadness	@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol	[0 0 0 0 1]
68	sadness	So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin	[0 0 0 0 1]
69	happiness	So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.	[0 1 0 0 0]
70	neutral	I cant give @jertronic any bday nudges.	[0 0 0 1 0]
71	sadness	...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'	[0 0 0 0 1]
72	neutral	Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.	[0 0 0 1 0]
73	neutral	says I miss plurking.  http://plurk.com/p/wxion	[0 0 0 1 0]
74	sadness	Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water	[0 0 0 0 1]
75	neutral	I miss Voobys!	[0 0 0 1 0]
76	neutral	@Dancing_Monk Neither are ELP!!	[0 0 0 1 0]
77	happiness	@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?	[0 1 0 0 0]
78	sadness	is sad that shin ae got married...and it wasn't to alex	[0 0 0 0 1]
79	sadness	@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.	[0 0 0 0 1]
80	sadness	@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?	[0 0 0 0 1]
81	neutral	there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.	[0 0 0 1 0]
82	sadness	@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.	[0 0 0 0 1]
83	sadness	goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..	[0 0 0 0 1]
84	sadness	@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia	[0 0 0 0 1]
85	sadness	fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw	[0 0 0 0 1]
86	anger	dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code	[1 0 0 0 0]
87	sadness	@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you	[0 0 0 0 1]
88	sadness	I can't sleep...I keep thinking about the puppy I played with today	[0 0 0 0 1]
89	sadness	.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh	[0 0 0 0 1]
90	neutral	@lepetitagneau what's going on sweetheart?	[0 0 0 1 0]
91	neutral	How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows	[0 0 0 1 0]
92	sadness	Last one month due to summer, strawberry is not availble in the Chennai markets!	[0 0 0 0 1]
93	neutral	@willxxmobb work at 6am. Gotta go to bed soon	[0 0 0 1 0]
94	love	@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha	[0 0 1 0 0]
95	sadness	@sweeetnspicy hiii im on my ipod...i cant fall asleep	[0 0 0 0 1]
96	sadness	dont wanna work 11-830 tomorrow  but i get paid	[0 0 0 0 1]
97	sadness	feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux	[0 0 0 0 1]
98	neutral	PrinceCharming	[0 0 0 1 0]
99	anger	@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS	[1 0 0 0 0]
100	sadness	First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )	[0 0 0 0 1]
101	anger	@mrgenius23 You win ... SIGH Rakeem	[1 0 0 0 0]
102	neutral	Oh is that time for real?	[0 0 0 1 0]
103	sadness	Darn these allergies! I don't like this time of year because of this! I never used to have this problem either	[0 0 0 0 1]
104	sadness	Oh no one minute too late! Oh well	[0 0 0 0 1]
105	anger	@soviet_star Damn, that sucks	[1 0 0 0 0]
106	sadness	@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS	[0 0 0 0 1]
107	anger	@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up	[1 0 0 0 0]
108	sadness	ahh! big scary bug flying around my room!!!!!	[0 0 0 0 1]
109	sadness	I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!	[0 0 0 0 1]
110	sadness	is up with a nasty cough i cant be sick i have a huge weekend ahead of me	[0 0 0 0 1]
111	neutral	@justamedicine  That was stone cold   Crazy....  ?	[0 0 0 1 0]
112	sadness	i'm so tired	[0 0 0 0 1]
113	neutral	shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo	[0 0 0 1 0]
114	neutral	@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.	[0 0 0 1 0]
115	neutral	@thecreativeone I second that. I wish it rained more where I am	[0 0 0 1 0]
116	sadness	@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!	[0 0 0 0 1]
117	neutral	damn it were is Eric or anyone else when you need your hair to be played with	[0 0 0 1 0]
118	neutral	I'm feel deflated. Ugh. No more dog.	[0 0 0 1 0]
119	sadness	Allergies suck ducks nuts.     &lt;=====8@8=====&gt;	[0 0 0 0 1]
120	neutral	Well it almost was a good day... Guess I just retry tomorrow	[0 0 0 1 0]
121	anger	@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku	[1 0 0 0 0]
122	love	@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...	[0 0 1 0 0]
123	sadness	@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.	[0 0 0 0 1]
124	anger	@britblackbird  youstinkatrespondingtotexts!	[1 0 0 0 0]
125	sadness	wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54	[0 0 0 0 1]
126	happiness	Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.	[0 1 0 0 0]
127	sadness	Is miserable  i feel like im gona cry  sux!	[0 0 0 0 1]
128	neutral	@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.	[0 0 0 1 0]
129	sadness	$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one	[0 0 0 0 1]
130	neutral	claire @breakfastnt love the show, got into the office @ 5am and no radio	[0 0 0 1 0]
131	love	Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.	[0 0 1 0 0]
132	sadness	*sigh* I'm going to bed... I just don't feel right anymore...	[0 0 0 0 1]
133	neutral	What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.	[0 0 0 1 0]
134	neutral	@jwillock EpiCentre Wheelock Place - tourists only..	[0 0 0 1 0]
135	sadness	Now I am depressed after watching so you think you can dance	[0 0 0 0 1]
136	sadness	Just cross 'cause I'm stuck twiddling my thumbs now, ugh	[0 0 0 0 1]
137	neutral	miss 16'th	[0 0 0 1 0]
138	neutral	@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.	[0 0 0 1 0]
139	sadness	I cant sleep, but im too sore to move	[0 0 0 0 1]
140	neutral	@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby	[0 0 0 1 0]
142	neutral	what is it with chocolates? i just can never say no	[0 0 0 1 0]
143	sadness	Achieving a new appreciation on how a xml build script can really be painful and cumbersome	[0 0 0 0 1]
144	neutral	@ether_radio i'm too awake now  ill have a nap this afternoon	[0 0 0 1 0]
145	sadness	@omfgiselle i cant do anything	[0 0 0 0 1]
146	neutral	still needs another 6 hours of sleep	[0 0 0 1 0]
147	happiness	I'm at work	[0 1 0 0 0]
148	happiness	RIP leonardo. You were a great mini fiddler crab	[0 1 0 0 0]
149	neutral	Morning tweeple,way to early again	[0 0 0 1 0]
150	sadness	Last day working for the Uni today, sad times	[0 0 0 0 1]
151	love	@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far	[0 0 1 0 0]
152	sadness	My head hurts so bad I could scream!	[0 0 0 0 1]
153	sadness	i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain	[0 0 0 0 1]
154	sadness	New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice	[0 0 0 0 1]
155	sadness	New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...	[0 0 0 0 1]
156	neutral	where are all ma bestfriends at ? , MIA or wat ?	[0 0 0 1 0]
157	sadness	oh men!!!!!!......I really can't see my face........c'mon guys!!!	[0 0 0 0 1]
158	sadness	I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old	[0 0 0 0 1]
159	sadness	my sole supporter is not my sole supporter	[0 0 0 0 1]
160	anger	don't you hate it when you finish all your work and there's still 1.25 hours left of work time	[1 0 0 0 0]
161	sadness	@Emilyyy16 urgh stop it guys	[0 0 0 0 1]
162	sadness	is still missing her husband.    I really want him home.	[0 0 0 0 1]
163	sadness	I miss my puppy	[0 0 0 0 1]
164	happiness	2 days of this month left, and I only have 400MB left on my onpeak downloads.	[0 1 0 0 0]
165	happiness	@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.	[0 1 0 0 0]
166	sadness	@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)	[0 0 0 0 1]
167	sadness	Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?	[0 0 0 0 1]
168	sadness	@BarbSchaefer yearling in pet home died... very sad for their whole family	[0 0 0 0 1]
169	neutral	fun in the sun hmmm hell no it's cold	[0 0 0 1 0]
170	sadness	I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!	[0 0 0 0 1]
171	sadness	@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.	[0 0 0 0 1]
172	sadness	is feeling sad... for some reason..  http://plurk.com/p/wxji3	[0 0 0 0 1]
173	sadness	well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.	[0 0 0 0 1]
174	sadness	just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad	[0 0 0 0 1]
175	neutral	@juneyee i don't think so.  I WANT DETAILS.	[0 0 0 1 0]
176	neutral	@jackgraycnn Hi...!!! Who is Mary Poppins???	[0 0 0 1 0]
177	sadness	@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards	[0 0 0 0 1]
178	neutral	my last tweet didn't send  bad phone	[0 0 0 1 0]
179	happiness	@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?	[0 1 0 0 0]
181	neutral	@taxidermi  I was watching Parental Control	[0 0 0 1 0]
182	happiness	@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay	[0 1 0 0 0]
183	sadness	I just saw pics from this past Thanksgiving and am sad because Grandma was in them.	[0 0 0 0 1]
184	sadness	@jertronic it wont let me	[0 0 0 0 1]
185	sadness	Took a shift tomorrow.    I don't really feel like working right now.	[0 0 0 0 1]
186	sadness	but now i have no money for a phone	[0 0 0 0 1]
187	sadness	Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.	[0 0 0 0 1]
188	sadness	@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything	[0 0 0 0 1]
189	happiness	@Bern_morley where are you? In Bris? I can't hear any thunder	[0 1 0 0 0]
190	happiness	bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!	[0 1 0 0 0]
191	sadness	Too bad the Red Devils.. disappointing to say the least	[0 0 0 0 1]
192	happiness	I had a dream about a pretty pretty beach and there was no beach when I woke up	[0 1 0 0 0]
193	sadness	@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).	[0 0 0 0 1]
194	happiness	when da heck will the garage man get here I ask you.. WHEN..	[0 1 0 0 0]
195	sadness	Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff	[0 0 0 0 1]
196	anger	@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.	[1 0 0 0 0]
197	sadness	why are plane tickets so expensive	[0 0 0 0 1]
198	happiness	(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.	[0 1 0 0 0]
199	sadness	Needs a job BADLY!!!	[0 0 0 0 1]
200	sadness	@AlexanderGWhite daaammmnnnnn I do wish I was there.	[0 0 0 0 1]
201	sadness	Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb	[0 0 0 0 1]
202	sadness	@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner	[0 0 0 0 1]
204	sadness	is a bad friend	[0 0 0 0 1]
205	neutral	@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!	[0 0 0 1 0]
206	anger	@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin	[1 0 0 0 0]
207	neutral	@aiderushton ill be over in an oir	[0 0 0 1 0]
208	neutral	@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am	[0 0 0 1 0]
209	anger	would wish the severe migrains would stop!!! doc's prescriptions arent working	[1 0 0 0 0]
210	love	@bobbyedner i missed the game	[0 0 1 0 0]
211	sadness	@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby	[0 0 0 0 1]
212	anger	@tiffalo cuz airlines are super lame.	[1 0 0 0 0]
213	sadness	@lenje - Still a pity it comes with no lamb though	[0 0 0 0 1]
214	sadness	@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.	[0 0 0 0 1]
215	happiness	is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat	[0 1 0 0 0]
216	anger	I'm so very tired...and have insomnia.	[1 0 0 0 0]
217	neutral	@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down	[0 0 0 1 0]
218	neutral	@yelgiuQnayR airport? and you didnt show up tonight homo!	[0 0 0 1 0]
219	anger	I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.	[1 0 0 0 0]
220	neutral	@MrRathbone what about me	[0 0 0 1 0]
221	neutral	Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking	[0 0 0 1 0]
222	sadness	people in my house do not know how to close doors	[0 0 0 0 1]
223	happiness	Why am I completing facebook quizzes at this time of the morning... especially a friday morning	[0 1 0 0 0]
224	neutral	out with @lizzziemonster &amp; @jamiejamess i am soooo hungry	[0 0 0 1 0]
225	sadness	@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death	[0 0 0 0 1]
226	sadness	Had to cancel wow for now	[0 0 0 0 1]
227	sadness	wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio	[0 0 0 0 1]
228	sadness	@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.	[0 0 0 0 1]
229	sadness	It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.	[0 0 0 0 1]
230	sadness	@__sugar oh no  i am always here ;) &lt;3	[0 0 0 0 1]
231	neutral	back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.	[0 0 0 1 0]
232	neutral	@ poll : was trying to get it to work in a powerpoint to no avail.	[0 0 0 1 0]
233	happiness	took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.	[0 1 0 0 0]
234	happiness	omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go	[0 1 0 0 0]
235	neutral	@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!	[0 0 0 1 0]
236	sadness	Up late with nothin 2 do.....	[0 0 0 0 1]
237	sadness	i think the vog is making me sicker than i think. feeling slightly achy	[0 0 0 0 1]
239	sadness	i am doing homework it sux big time maths is the worst!!!!!!	[0 0 0 0 1]
240	neutral	@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.	[0 0 0 1 0]
241	neutral	#3wordsaftersex it never started...	[0 0 0 1 0]
242	sadness	sometimes i wish things could go back to the way they were the beginning of last summer	[0 0 0 0 1]
243	sadness	I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't	[0 0 0 0 1]
245	sadness	@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.	[0 0 0 0 1]
246	happiness	I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more	[0 1 0 0 0]
247	sadness	i'm sooooooooooooo confused	[0 0 0 0 1]
248	neutral	With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well	[0 0 0 1 0]
249	sadness	Work day 7 of 7,	[0 0 0 0 1]
250	happiness	Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks	[0 1 0 0 0]
251	neutral	I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only	[0 0 0 1 0]
252	sadness	@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban	[0 0 0 0 1]
253	neutral	@mysticnz no im not  cries LOL	[0 0 0 1 0]
254	sadness	Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL	[0 0 0 0 1]
255	happiness	@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today	[0 1 0 0 0]
256	anger	I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.	[1 0 0 0 0]
257	neutral	Come on Knight... It's been well over 4 hours	[0 0 0 1 0]
258	sadness	not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with	[0 0 0 0 1]
259	happiness	@FoxxFiles aw u can't let me in on the secret!	[0 1 0 0 0]
260	happiness	@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.	[0 1 0 0 0]
261	sadness	no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...	[0 0 0 0 1]
262	anger	i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.	[1 0 0 0 0]
263	anger	Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!	[1 0 0 0 0]
264	neutral	twittascope is NOT rocking my socks - go away already!!	[0 0 0 1 0]
265	neutral	Driving Back home because I forgot the piece of cake for @v_era	[0 0 0 1 0]
266	sadness	@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz	[0 0 0 0 1]
267	sadness	Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol	[0 0 0 0 1]
268	sadness	It's pissing me off and not letting me follow ericka	[0 0 0 0 1]
269	sadness	Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....	[0 0 0 0 1]
270	sadness	my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.	[0 0 0 0 1]
271	neutral	@koifusionpdx i was so close to the tacos...one spot too late	[0 0 0 1 0]
273	happiness	is thinking so much and i'm at work	[0 1 0 0 0]
274	sadness	I have forgot the live with the Jonas Brothers on Facebook	[0 0 0 0 1]
275	sadness	I haven't seen Muffin in two whole days!	[0 0 0 0 1]
276	sadness	@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...	[0 0 0 0 1]
277	happiness	my gap year is going so quick	[0 1 0 0 0]
278	sadness	I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....	[0 0 0 0 1]
279	neutral	@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home	[0 0 0 1 0]
280	sadness	my twitter has been hacked again	[0 0 0 0 1]
281	sadness	Just found mj mouse flats at DJs. Of course there are none left in my size	[0 0 0 0 1]
282	neutral	@passingcarss i wont have time to buy  and i need a new binder pa	[0 0 0 1 0]
283	anger	@lanacaitlin  hahaha well its try its so ugly	[1 0 0 0 0]
284	neutral	25-man Ulduar is hard...	[0 0 0 1 0]
285	sadness	@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you	[0 0 0 0 1]
286	happiness	@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though	[0 1 0 0 0]
287	neutral	night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]	[0 0 0 1 0]
288	neutral	@princess_oats this is happening to me too	[0 0 0 1 0]
289	happiness	@qi_tah oh no.  *hugs*	[0 1 0 0 0]
290	neutral	@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk	[0 0 0 1 0]
291	sadness	@xoshayzers i knoww  things won't be the samee &lt;/3	[0 0 0 0 1]
292	sadness	OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.	[0 0 0 0 1]
293	happiness	@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me	[0 1 0 0 0]
294	sadness	Okay, so twitter suddenly changed, how do I respond to messages now	[0 0 0 0 1]
